system:index,Aspect,DEM,EVI,Fire_Label,LSWI,NBR,NDMI,NDVI,NDWI,Precipitation,SAVI,Slope,TCI,Temperature,VCI,WindSpeed,random,.geo
82,149,199,1.4904580152671756,0,-0.001080789,0.17374395,0.001080789,0.3588165,-0.37230882,0.6055246,0.538175303197354,1,48.766281901937994,28.942631578947385,64.63838372293509,2.336451900578853,0.46231833573829206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.65634943709377,13.472483473582525]}"
83,179,567,2.939182738208898,0,0.19684295,0.38750294,-0.19684295,0.5314631,-0.47493556,1.5018768,0.7971258415328845,3,45.395010395010466,26.67153846153849,81.42116510229928,2.702510543762444,0.6224605221330392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.63102152036345,13.74197805881838]}"
84,190,720,3.2585917854149207,0,0.2657033,0.45735785,-0.2657033,0.5548617,-0.49216676,2.187623,0.8322183569708322,1,47.51004016064244,23.82666666666671,83.69571977339858,2.181748482836972,0.6125224843669068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.63551309678404,14.204610430139935]}"
85,180,209,0.6574024585783003,0,-0.076847166,0.025767544,0.076847166,0.19667412,-0.26141918,0.9067775,0.29498760892157644,0,50.85686191880882,32.0244444444445,48.87670592666511,3.0138005232200547,0.34816997672774175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.21330491324787,13.68807914177121]}"
86,296,424,1.246139481433599,0,-0.030844258,0.08794881,0.030844258,0.2932725,-0.30786324,1.6651946,0.43987154567734305,0,47.439660795825354,26.81857142857143,58.266923137569506,2.181265404384133,0.24676543724928812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.69390359025181,13.98901476195125]}"
87,280,631,2.4071353620146905,0,0.073278844,0.23968,-0.073278844,0.42060873,-0.401085,0.73026997,0.6308552571271427,1,44.843266253869984,27.93105263157895,70.64513637568054,1.7956144045562483,0.5683963379003469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.90787771664722,14.15520308951336]}"
89,40,327,0.6033401544656413,0,-0.1515423,-0.07641937,0.1515423,0.15993,-0.22317557,0.70170105,0.23987402676931152,2,48.319327731092486,30.84882352941179,45.30485137580185,3.0470543898022395,0.2178425213703653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.12796496125651,13.44553401505894]}"
90,232,258,0.5451586655817738,0,-0.10217256,-0.022438496,0.10217256,0.17402597,-0.25446662,0.7458066,0.26101777453128805,3,49.69042838018777,31.651111111111106,46.6751043029552,3.136980700696119,0.225473373541634,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.04711658568576,13.467991897161927]}"
91,194,917,3.074167507568113,0,0.25710166,0.435298,-0.25710166,0.5371595,-0.48076433,1.2529111,0.8056681946403385,14,47.54716981132099,23.406000000000006,81.97490406450785,2.372190841338458,0.0030675641022163136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.68492043741061,13.584772884097465]}"
92,32,435,0.9183673469387755,0,-0.09366996,-0.022236843,0.09366996,0.22563088,-0.2650664,1.5768269,0.3384184052115115,1,57.15674362089912,28.54200000000003,51.691558751230495,2.5793138210836957,0.07076860346068814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.55915629763388,13.971048456268859]}"
93,276,708,1.8975166142007696,0,0.04743572,0.21693291,-0.04743572,0.39831132,-0.39908174,0.6657037,0.5974121317793888,2,52.17499584924424,27.414210526315856,68.47762919923848,3.1271003149613223,0.16605570956661386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.12796496125651,13.83630116365093]}"
94,133,699,1.6709379805228088,0,0.04999292,0.18076126,-0.04999292,0.35837302,-0.36663595,0.556767,0.5375103050288541,2,46.02801968951133,28.312105263157946,64.59527427094216,3.1271003149613223,0.2596114874902524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.08754077347113,13.831809587230333]}"
95,210,294,0.6612480335605664,0,-0.119894914,0.0031305295,0.119894914,0.20641676,-0.27596954,0.49926466,0.3095998035845814,1,51.37807536592991,31.143684210526317,49.82377637848241,2.9434552092440125,0.43915663393370397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.88092825812365,13.616213919041648]}"
96,221,479,1.3560079127049964,0,0.042534545,0.20696114,-0.042534545,0.37892297,-0.4058722,0.39949965,0.5683337790853169,1,48.829860768243435,29.44473684210527,66.59291050699844,2.5014282908708574,0.028600876424388133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.79109672971168,13.935115844904077]}"
97,48,346,2.764469312816926,0,0.23604488,0.4320767,-0.23604488,0.559547,-0.5025147,0.8041434,0.8392462178182784,12,44.02274530547466,25.225789473684245,84.1511678726459,1.5285677487536868,0.6755610551737548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.67880731919675,14.132745207410373]}"
99,315,877,1.3470398129684384,0,-0.010507881,0.10955253,0.010507881,0.32918838,-0.35526428,1.3491098,0.49374107367890446,6,50.151384083044846,26.313529411764762,61.758266429207154,2.101493897485162,0.31743437921983275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.27169540671564,14.307916687813679]}"
100,10,192,0.9755328098710039,0,-0.12796436,-0.01274276,0.12796436,0.23776165,-0.28155684,1.4193217,0.35661199384930803,6,57.10851648351628,29.934615384615427,52.87077672362357,1.7640003352611426,0.006223284354482939,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.67144570814882,13.333244604543998]}"
105,166,178,1.2990211359810462,0,0.11334775,0.2527172,-0.11334775,0.33836785,-0.3448107,0.752272,0.5075105553751218,0,48.65924975039213,29.988888888888937,62.650592613710685,2.9433259056241483,0.5410407968950781,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3480522058658,13.566806578415074]}"
